symbol,side,entry_time,entry_price,quantity,score,atr,strategy,option_signal,trade_identity,underlying_symbol,strike,option_type,entry_reason,exit_time,exit_price,exit_reason,pnl,estimated_charges,net_pnl,partial_exit_count,partial_exit_events,underlying_close_at_entry
SBIN.NS,BUY,2026-03-11,1091.0999755859375,11,0.18570745989648563,27.778573172433035,,,SBIN.NS,,,,,2026-03-12,1074.7334759521484,STOP_LOSS,-180.03149597168,19.385211184708453,-199.41670715638844,0,[],
BAJFINANCE.NS,BUY,2026-03-11,893.6500244140625,12,0.16844715394396167,26.217864990234375,,,BAJFINANCE.NS,,,,,2026-03-12,880.0999755859375,STOP_LOSS,-162.6005859375,17.318398400976562,-179.91898433847655,0,[],
BAJFINANCE.NS,BUY,2026-03-12,863.0999755859375,11,0.1854791512668046,27.48929704938616,,,BAJFINANCE.NS,,,,,2026-03-13,850.1534759521484,STOP_LOSS,-142.41149597168044,15.33441084650845,-157.7459068181889,0,[],
SBIN.NS,BUY,2026-03-12,1085.199951171875,11,0.172540310059005,27.907139369419642,,,SBIN.NS,,,,,2026-03-13,1068.9219519042967,STOP_LOSS,-179.05799194336078,19.280387408866908,-198.3383793522277,0,[],
BAJFINANCE.NS,BUY,2026-03-13,855.0499877929688,11,0.237768884640407,26.896440778459823,,,BAJFINANCE.NS,,,,,2026-03-16,850.0999755859375,TRAILING_STOP,-54.45013427734375,15.29897818236267,-69.74911245970642,0,[],
SBIN.NS,BUY,2026-03-13,1047.0,10,0.23696863259178894,29.814278738839285,,,SBIN.NS,,,,,2026-03-16,1041.765,TRAILING_STOP,-52.349999999999,17.0406636585,-69.390663658499,0,[],
SBIN.NS,BUY,2026-03-16,1066.699951171875,10,0.20075438842146004,31.378566196986608,,,SBIN.NS,,,,,2026-03-17,1050.699451904297,STOP_LOSS,-160.00499267578107,17.22882186190173,-177.2338145376828,0,[],
MAXHEALTH.NS,BUY,2026-03-16,970.5999755859375,11,0.15882255325269715,27.824999128069198,,,MAXHEALTH.NS,,,,,2026-03-17,986.1295751953126,TARGET,170.8255957031256,17.655361708288478,153.17023399483713,0,[],
SBIN.NS,BUY,2026-03-17,1064.699951171875,9,0.19154754230938476,32.228567940848215,,,SBIN.NS,,,,,2026-03-19,1048.7294519042969,STOP_LOSS,-143.7344934082032,15.476866946011562,-159.21136035421478,0,[],
BAJFINANCE.NS,BUY,2026-03-17,868.5999755859375,11,0.14241178366266272,28.01430402483259,,,BAJFINANCE.NS,,,,,2026-03-18,864.2569757080078,TRAILING_STOP,-47.77299865722716,15.550785139938299,-63.32378379716546,0,[],
MAXHEALTH.NS,BUY,2026-03-18,979.7999877929688,11,0.13095744871115947,28.550005231584823,,,MAXHEALTH.NS,,,,,2026-03-19,965.1029879760742,STOP_LOSS,-161.66699798583954,17.407781236491726,-179.07477922233127,0,[],
MAXHEALTH.NS,BUY,2026-03-19,953.0999755859375,11,0.2489146314044974,29.067858014787948,,,MAXHEALTH.NS,,,,,2026-03-20,968.3495751953125,TARGET,167.74559570312465,17.337034037088475,150.40856166603618,0,[],
SBIN.NS,BUY,2026-03-19,1048.9000244140625,10,0.18855321942945705,31.214285714285715,,,SBIN.NS,,,,,2026-03-20,1065.6824248046876,TARGET,167.8240039062507,17.345137771083206,150.4788661351675,0,[],
MAXHEALTH.NS,BUY,2026-03-20,964.7999877929688,11,0.17655085723232217,29.082140241350448,,,MAXHEALTH.NS,,,,,2026-03-23,950.3279879760742,STOP_LOSS,-159.19199798584054,17.141281214241722,-176.33327920008227,0,[],
SBIN.NS,BUY,2026-03-20,1058.0,9,0.1437402371099965,32.84999302455357,,,SBIN.NS,,,,,2026-03-23,1039.0,STOP_LOSS,-171.0,15.344489970000001,-186.34448997,0,[],
MAXHEALTH.NS,BUY,2026-03-23,956.9000244140625,11,0.17101554205879685,28.978572300502233,,,MAXHEALTH.NS,,,,,2026-03-24,972.2104248046875,TARGET,168.41440429687475,17.406157505311526,151.00824679156324,0,[],
SBIN.NS,BUY,2026-03-23,1031.9000244140625,9,0.14724221192964598,34.385711669921875,,,SBIN.NS,,,,,2026-03-24,1026.7405242919922,TRAILING_STOP,-46.43550109863281,15.115410812525484,-61.550911911158295,0,[],
SBIN.NS,BUY,2026-03-24,1030.800048828125,9,0.12611546313430622,34.86427961077009,,,SBIN.NS,,,,,2026-03-25,1047.292849609375,TARGET,148.43520703125023,15.341244733229766,133.09396229802047,0,[],
MAXHEALTH.NS,BUY,2026-03-24,969.2000122070312,11,0.07364778998930387,27.699999128069198,,,MAXHEALTH.NS,,,,,2026-03-25,984.7072124023438,TARGET,170.57920214843773,17.62989616073576,152.94930598770196,0,[],
BEL.NS,BUY,2026-03-30,400.6499938964844,23,0.07493709325580478,13.45357186453683,,,BEL.NS,,,,,2026-04-01,415.0,TARGET,330.0501403808594,15.465086750486146,314.58505363037324,0,[],
